Brand,Phone_Name,Price,MarketPrice,Discount,Link,ImageLink
Infinix,Infinix Hot 12 Play,"Rs. 34,099","
                Rs. 35,999            ","
                (5% OFF)            ",https://priceoye.pk/mobiles/infinix/infinix-hot-12-play,https://static.priceoye.pk/images/placeholder-product-mobile.jpg
Infinix,Infinix Hot 12i,"Rs. 38,099","
                Rs. 42,000            ","
                (9% OFF)            ",https://priceoye.pk/mobiles/infinix/infinix-hot-12i,https://static.priceoye.pk/images/placeholder-product-mobile.jpg
ZTE,ZTE Blade A31 Plus,"Rs. 18,799","
                Rs. 22,299            ","
                (16% OFF)            ",https://priceoye.pk/mobiles/zte/zte-blade-a31-plus,https://static.priceoye.pk/images/placeholder-product-mobile.jpg
Jazz,Jazz Digit E3 Pro 4G,"Rs. 9,899","
                Rs. 10,999            ","
                (10% OFF)            ",https://priceoye.pk/mobiles/digit/digit-e3-pro-4g,https://static.priceoye.pk/images/placeholder-product-mobile.jpg
Realme,Realme C25Y,"Rs. 36,699","
                Rs. 49,999            ","
                (27% OFF)            ",https://priceoye.pk/mobiles/realme/realme-c25y,https://static.priceoye.pk/images/placeholder-product-mobile.jpg
Samsung,Samsung Galaxy A13,"Rs. 50,999","
                Rs. 57,999            ","
                (12% OFF)            ",https://priceoye.pk/mobiles/samsung/samsung-galaxy-a13,https://static.priceoye.pk/images/placeholder-product-mobile.jpg
ZTE,ZTE Blade A52,"Rs. 26,499","
                Rs. 36,199            ","
                (27% OFF)            ",https://priceoye.pk/mobiles/zte/zte-blade-a52,https://static.priceoye.pk/images/placeholder-product-mobile.jpg
Infinix,Infinix Note 12 G88,"Rs. 49,499","
                Rs. 58,999            ","
                (16% OFF)            ",https://priceoye.pk/mobiles/infinix/infinix-note-12-g88,https://static.priceoye.pk/images/placeholder-product-mobile.jpg
Samsung,Samsung Galaxy A32,"Rs. 79,999","
                Rs. 84,999            ","
                (6% OFF)            ",https://priceoye.pk/mobiles/samsung/samsung-galaxy-a32,https://static.priceoye.pk/images/placeholder-product-mobile.jpg
Realme,Realme Narzo 50,"Rs. 40,699","
                Rs. 47,999            ","
                (15% OFF)            ",https://priceoye.pk/mobiles/realme/realme-narzo-50,https://static.priceoye.pk/images/placeholder-product-mobile.jpg
Samsung,Samsung Galaxy A23,"Rs. 71,899","
                Rs. 78,500            ","
                (8% OFF)            ",https://priceoye.pk/mobiles/samsung/samsung-galaxy-a23,https://static.priceoye.pk/images/placeholder-product-mobile.jpg
Infinix,Infinix Note 12 G96,"Rs. 51,799","
                Rs. 54,999            ","
                (6% OFF)            ",https://priceoye.pk/mobiles/infinix/infinix-note-12-g96,https://static.priceoye.pk/images/placeholder-product-mobile.jpg
Samsung,Samsung Galaxy A53 5G,"Rs. 112,999","
                Rs. 133,999            ","
                (16% OFF)            ",https://priceoye.pk/mobiles/samsung/samsung-galaxy-a53,https://static.priceoye.pk/images/placeholder-product-mobile.jpg
