Brand,Laptop_Name,Price,MarketPrice,Discount,Link,ImageLink
Lenovo,Lenovo Ideapad 3 1115G4 15.6 Inches 11th Gen Core i3 (4GB - 1TB HDD),"Rs. 115,499","
                Rs. 150,000            ","
                (23% OFF)            ",https://priceoye.pk/laptops/lenovo/lenovo-ideapad-3-1115g4-15-6-inches-11th-gen-core-i3-4gb-1tb-hdd,https://static.priceoye.pk/images/product-placeholder.jpg
Lenovo,Lenovo Laptop Ideapad S145 15.6 Inches 10th Gen Core i5 (4GB - 1TB HDD),"Rs. 146,499","
                Rs. 160,000            ","
                (8% OFF)            ",https://priceoye.pk/laptops/lenovo/lenovo-ideapad-s145-15-6-inches-10th-gen-core-i5-4gb-1tb-hdd,https://static.priceoye.pk/images/product-placeholder.jpg
Apple,Apple MacBook Pro 16.0 Inches M1 Chip (MK183) Japanese Version (ENG Keyboard),"Rs. 509,999","
                Rs. 550,000            ","
                (7% OFF)            ",https://priceoye.pk/laptops/apple/apple-macbook-pro-16-2-inches-m1-pro-chip-16gb-ram-512gb-ssd-mk183,https://static.priceoye.pk/images/product-placeholder.jpg
Infinix,Infinix INBook X2 1035G1 14 Inches Core i5 (8GB RAM - 512GB SSD),"Rs. 127,999","
                Rs. 135,999            ","
                (6% OFF)            ",https://priceoye.pk/laptops/infinix/infinix-inbook-x2-1035g1-14-inches-core-i5-8gb-ram-512gb-ssd,https://static.priceoye.pk/images/product-placeholder.jpg
HP,HP FQ5098TU 15.6 Inches Core i5 12Gen (8GB RAM - 512GBSSD),"Rs. 201,499",,,https://priceoye.pk/laptops/hp/hp-fq5098tu-15-6-inches-core-i5-12gen-8gb-ram-512gbssd,https://static.priceoye.pk/images/product-placeholder.jpg
HP,HP Victus Gaming Laptop Core i7-12650H 16GB 512GB SSD (15-FA0032DX),"Rs. 320,000","
                Rs. 350,000            ","
                (9% OFF)            ",https://priceoye.pk/laptops/hp/hp-victus-gaming-laptop-core-i7-12650h-16gb-512gb-ssd-15-fa0032dx,https://static.priceoye.pk/images/product-placeholder.jpg
HP,HP Laptop EQ2180AU 15.6 Inches AMD Ryzen 5 (8GB RAM - 512GBSSD),"Rs. 171,499","
                Rs. 175,000            ","
                (2% OFF)            ",https://priceoye.pk/laptops/hp/hp-laptop-eq2180au-15-6-inches-amd-ryzen-5-8gb-ram-512gbssd,https://static.priceoye.pk/images/product-placeholder.jpg
Infinix,Infinix INBook X2 1065G7 14 Inches Core i7 (8GB RAM - 512GB SSD),"Rs. 159,999","
                Rs. 169,999            ","
                (6% OFF)            ",https://priceoye.pk/laptops/infinix/infinix-inbook-x2-14-inches-core-i5-8gb-ram-512gb-ssd,https://static.priceoye.pk/images/product-placeholder.jpg
Infinix,Infinix Zerobook ZL 12 Core i7 (16GB RAM - 512GB SSD),"Rs. 211,999","
                Rs. 229,999            ","
                (8% OFF)            ",https://priceoye.pk/laptops/infinix/infinix-zerobook-zl-12-core-i7-16gb-ram-512gb-ssd,https://static.priceoye.pk/images/product-placeholder.jpg
Apple,Apple MacBookK Pro 13-INCH Core i5  8GB RAM - 512GB SSD (A2289) Japanese Version (ENG Keyboard),"Rs. 299,999","
                Rs. 380,000            ","
                (21% OFF)            ",https://priceoye.pk/laptops/apple/apple-macbookk-pro-13-inch-core-i5-m2-chip-8gb-ram-512gb-ssd-a2289,https://static.priceoye.pk/images/product-placeholder.jpg
Apple,Apple MacBook Air 13.3 Inches M1 Chip 8GB RAM - 256GB SSD (MGND3),"Rs. 338,999","
                Rs. 350,000            ","
                (3% OFF)            ",https://priceoye.pk/laptops/apple/apple-macbook-air-13-3-inches-m1-chip-8gb-ram-256gb-ssd-mgnd3,https://static.priceoye.pk/images/product-placeholder.jpg
Dell,Dell Laptop Inspiron 5515 15.6 inches AMD Ryzen 7 (8GB RAM - 512GB SSD),"Rs. 195,499","
                Rs. 245,499            ","
                (20% OFF)            ",https://priceoye.pk/laptops/dell/dell-5515-15-6-inches-amd-ryzen-7-gaming-laptop-8gb-ram-512gb-ssd,https://static.priceoye.pk/images/product-placeholder.jpg
Lenovo,Lenovo Laptop Ideapad 3 15.6 Inches 11th Gen Core i5 (8GB - 1TB HDD),"Rs. 146,999",,,https://priceoye.pk/laptops/lenovo/lenovo-ideapad-3-15-6-inches-11th-gen-core-i5-8gb-1tb-hdd,https://static.priceoye.pk/images/product-placeholder.jpg
HP,HP EG0503TX 15.6 Inches Core i5 11thGen (8GB RAM - 512GBSSD),"Rs. 221,499",,,https://priceoye.pk/laptops/hp/hp-eg0503tx-15-6-inches-core-i5-12gen-8gb-ram-512gbssd,https://static.priceoye.pk/images/product-placeholder.jpg
HP,HP EQ2179AU 15.6 Inches AMD Ryzen 3 Core i5 11thGen (4GB RAM -256GBSSD),"Rs. 126,499","
                Rs. 135,000            ","
                (6% OFF)            ",https://priceoye.pk/laptops/hp/hp-eq2179au-15-6-inches-core-i5-11thgen-4gb-ram-256gbssd,https://static.priceoye.pk/images/product-placeholder.jpg
HP,HP FQ5099TU 15.6 Inches Core i7 12Gen (8GB RAM - 512GBSSD),"Rs. 261,499",,,https://priceoye.pk/laptops/hp/hp-fq5099tu-15-6-inches-core-i5-12gen-8gb-ram-512gbssd,https://static.priceoye.pk/images/product-placeholder.jpg
HP,HP DU3572TU 15.6 Inches Core i5 11thGen (8GB RAM - 512GBSSD),"Rs. 176,499",,,https://priceoye.pk/laptops/hp/hp-eg0503tx-15-6-inches-core-i5-11thgen-8gb-ram-512gbssd,https://static.priceoye.pk/images/product-placeholder.jpg
ASUS,ASUS E410M 14 Inches Celeron N4020 (4GB RAM - 256GB SSD),"Rs. 75,999",,,https://priceoye.pk/laptops/asus/asus-e410-14-inches-intel-celeron-4gb-ram-256gb-ssd,https://static.priceoye.pk/images/product-placeholder.jpg
Lenovo,Lenovo Thinkbook 14 G2 1165G7 14 Inches 11th Gen Core i7 (8 GB - 1TB HDD),"Rs. 190,999",,,https://priceoye.pk/laptops/lenovo/lenovo-thinkbook-14-g2-1165g7-14-inches-11th-gen-core-i7-8-gb-1tb-hdd,https://static.priceoye.pk/images/product-placeholder.jpg
Lenovo,Lenovo Ideapad 3 15ITL05 15.6 Inches 11th Gen Core i5 (4GB -  1TB HDD),"Rs. 128,999",,,https://priceoye.pk/laptops/lenovo/lenovo-ideapad-1165g7-15-6-inches-11th-gen-core-i7-8-gb-512gb-ssd,https://static.priceoye.pk/images/product-placeholder.jpg
ASUS,ASUS X415 14 Inches 11th Gen Core i3 (4GB RAM - 128GB SSD),"Rs. 117,999",,,https://priceoye.pk/laptops/asus/asus-x415-14-inches-11th-gen-core-i3-4gb-ram-128gb-ssd,https://static.priceoye.pk/images/product-placeholder.jpg
Lenovo,Lenovo Thinkbook 15 G2 1165G7 15.6 Inches 11th Gen Core i7 (8 GB - 512GB SSD),"Rs. 185,999",,,https://priceoye.pk/laptops/lenovo/lenovo-thinkbook-15-g2-1165g7-15-6-inches-11th-gen-core-i7-8-gb-512gb-ssd,https://static.priceoye.pk/images/product-placeholder.jpg
Lenovo,Lenovo V15 111G54 15.6 Inches 11th Gen Core i3 (4GB RAM - 1TB HDD),"Rs. 109,999",,,https://priceoye.pk/laptops/lenovo/lenovo-v15-111g54-15-6-inches-11th-gen-core-i3-4gb-ram-1tb-hdd,https://static.priceoye.pk/images/product-placeholder.jpg
Apple,Apple MacBook Air 13.3 Inches M1 Chip (MGN73),"Rs. 317,999",,,https://priceoye.pk/laptops/apple/apple-macbook-air-13-3-inches-m1-chip-8gb-ram-512gb-ssd-mgn73,https://static.priceoye.pk/images/product-placeholder.jpg
Apple,Apple MacBook Pro 13.3 Inches M1 Chip (MYD92),"Rs. 311,999",,,https://priceoye.pk/laptops/apple/apple-macbook-pro-13-3-inches-m1-chip-myd92,https://static.priceoye.pk/images/product-placeholder.jpg
ASUS,ASUS VivoBook K513EQ 15.6 Inches 11th Gen Core i5 (8GB RAM - 512GB SSD),"Rs. 177,999",,,https://priceoye.pk/laptops/asus/asus-vivobook-k513eq-15-6-inches-11th-gen-core-i5-8gb-ram-512gb-ssd,https://static.priceoye.pk/images/product-placeholder.jpg
Apple,Apple MacBook Pro 14 Inches M1 Pro Chip (MKGR3),"Rs. 515,000",,,https://priceoye.pk/laptops/apple/apple-macbook-pro-14-inches-m1-pro-chip-mkgr3,https://static.priceoye.pk/images/product-placeholder.jpg
Apple,Apple MacBook Air 13.3 Inches M1 Chip (MGN63),"Rs. 269,999",,,https://priceoye.pk/laptops/apple/apple-macbook-air-13-3-inches-m1-chip-mgn63,https://static.priceoye.pk/images/product-placeholder.jpg
Apple,Apple MacBook Pro (MKGP3),"Rs. 362,999",,,https://priceoye.pk/laptops/apple/apple-macbook-pro-14-2-inches-m1-pro-chip-16gb-ram-512gb-ssd-mkgp3,https://static.priceoye.pk/images/product-placeholder.jpg
HP,HP Chromebook 14 G5,"Rs. 50,000",,,https://priceoye.pk/laptops/hp/hp-chromebook-14-g5,https://static.priceoye.pk/images/product-placeholder.jpg
Dell,Dell Inspiron 3515 15.6 inches AMD Ryzen 5 3450U (8GB-256GB),"Rs. 134,499",,,https://priceoye.pk/laptops/dell/dell-inspiron-3515-15-6-inches-amd-ryzen-5-3450u-8gb-256gb,https://static.priceoye.pk/images/product-placeholder.jpg
Dell,Dell Inspiron 5510 15.6 Inches 11th Gen Core i5 11300H (8GB-256GB),"Rs. 169,999",,,https://priceoye.pk/laptops/dell/dell-inspiron-5510-15-6-inches-11th-gen-core-i5-11300h-8gb-256gb,https://static.priceoye.pk/images/product-placeholder.jpg
Viper,Viper P40 Notebook 14 Inches Core i3 (4GB RAM - 256GB SSD),"Rs. 72,000",,,https://priceoye.pk/laptops/viper/viper-p40-notebook,https://static.priceoye.pk/images/product-placeholder.jpg
Dell,Dell Vostro 3500 15.6 inches Core i3 (4GB RAM - 1TB HDD),"Rs. 79,900",,,https://priceoye.pk/laptops/dell/dell-vostro-3500-15-6-inches-core-i3-4gb-ram-1tb-hdd,https://static.priceoye.pk/images/product-placeholder.jpg
Dell,Dell Inspiron 3501 15.6 inches Core i5 1135G7 (4GB RAM - 1TB HDD),"Rs. 128,500",,,https://priceoye.pk/laptops/dell/dell-inspiron-3501-15-6-inches-core-i5-1135g7-4gb-ram-1tb-hdd,https://static.priceoye.pk/images/product-placeholder.jpg
Dell,Dell XPS 9300 13.4 Inches Core i7 (16GB RAM - 512GB SSD),"Rs. 282,000",,,https://priceoye.pk/laptops/dell/dell-xps-9300-13-4-inches-core-i7-16gb-ram-512gb-ssd,https://static.priceoye.pk/images/product-placeholder.jpg
Dell,Dell Latitude 5400 14 Inches Core i7 (8GB RAM - 256GB SSD),"Rs. 112,000",,,https://priceoye.pk/laptops/dell/dell-latitude-5400-14-inces-core-i7-8gb-ram-256gb-ssd,https://static.priceoye.pk/images/product-placeholder.jpg
Dell,Dell XPS 9310 13.4 Inches Core i7 (8GB RAM - 256GB SSD),"Rs. 237,000",,,https://priceoye.pk/laptops/dell/dell-xps-9310-13-4-inches-core-i7-8gb-ram-256gb-ssd,https://static.priceoye.pk/images/product-placeholder.jpg
Dell,Dell Inspiron 5402 14 Inches Core i5 (8GB RAM - 512GB SSD),"Rs. 157,000",,,https://priceoye.pk/laptops/dell/dell-inspiron-5402-14-inches-core-i5-8gb-ram-512gb-ssd,https://static.priceoye.pk/images/product-placeholder.jpg
Dell,Dell Inspiron 2 in 1 14 Inches Core i7 (8GB RAM - 512GB SSD),"Rs. 225,000",,,https://priceoye.pk/laptops/dell/dell-inspiron-2-in-1-14-inches-core-i7-8gb-ram-512gb-ssd,https://static.priceoye.pk/images/product-placeholder.jpg
Dell,Dell Inspiron 5510 15.6 Inches 11 Gen Core i5 11320H (8GB RAM - 512GB SSD),"Rs. 172,999",,,https://priceoye.pk/laptops/dell/dell-inspiron-5510-15-6-inches-11-gen-core-i5-11320h-8gb-ram-512gb-ssd,https://static.priceoye.pk/images/product-placeholder.jpg
Dell,Dell Inspiron 5510 15.6 Inches 11 Gen Core i7 11370H (8GB RAM - 512GB SSD),"Rs. 186,000",,,https://priceoye.pk/laptops/dell/dell-inspiron-5510-15-6-inches-11-gen-core-i7-11370h-8gb-ram-512gb-ssd,https://static.priceoye.pk/images/product-placeholder.jpg
Dell,Dell Inspiron 5410 14 Inches 11Gen Core i5 11300H (8GB RAM - 256GB SSD),"Rs. 156,000",,,https://priceoye.pk/laptops/dell/dell-inspiron-5410-14-inches-11gen-core-i5-11300h-8gb-ram-256gb-ssd,https://static.priceoye.pk/images/product-placeholder.jpg
Dell,Dell XPS 9310 13.4 Inches Core i5 1135G7 (8GB RAM - 512GB SSD),"Rs. 304,000",,,https://priceoye.pk/laptops/dell/dell-xps-9310-13-4-inches-core-i5-1135g7-8gb-ram-512gb-ssd,https://static.priceoye.pk/images/product-placeholder.jpg
HP,HP 250 G8 Tiger Lake Core i3 (4GB RAM - 1TB HDD),"Rs. 92,000",,,https://priceoye.pk/laptops/hp/hp-250-g8-tiger-lake-core-i3-4gb-ram-01-terabyte-hdd,https://static.priceoye.pk/images/product-placeholder.jpg
HP,HP EF2125WM 15.6 Inches AMD Ryzen 5 (8GB RAM - 256GBSSD),"Rs. 110,999",,,https://priceoye.pk/laptops/hp/hp-ef2125wm-15-6-inches-amd-ryzen-5-8gb-ram-256gbssd,https://static.priceoye.pk/images/product-placeholder.jpg
HP,HP Pavilion Tiger Lake 15.6 Inches Core i7 (8GB RAM - 512GB SSD),"Rs. 160,000",,,https://priceoye.pk/laptops/hp/hp-pavilion-eg000-tiger-lake-15-6-inches-core-i7-8gb-ram-512gb-ssd,https://static.priceoye.pk/images/product-placeholder.jpg
Lenovo,Lenovo ThinkPad E15 15.6 Inches AMD Ryzen 7 (08GB RAM - 512GB SSD),"Rs. 145,500",,,https://priceoye.pk/laptops/lenovo/lenovo-thinkpad-e15-15-6-inches-amd-ryzen-7-08gb-ram-512gb-ssd,https://static.priceoye.pk/images/product-placeholder.jpg
Apple,Apple MacBook Air 13.3 Inches M1 Chip 8GB RAM - 512GB SSD (MGNA3),"Rs. 230,000",,,https://priceoye.pk/laptops/apple/apple-macbook-air-13-3-inches-m1-chip-8gb-ram-512gb-ssd-mgna3,https://static.priceoye.pk/images/product-placeholder.jpg
Apple,Apple MacBook Pro 14.2 Inches M1 Pro Chip 16GB RAM - 1TB SSD (MKGQ3),"Rs. 512,000",,,https://priceoye.pk/laptops/apple/apple-macbook-pro-14-2-inches-m1-pro-chip-16gb-ram-1tb-ssd-mkgq3,https://static.priceoye.pk/images/product-placeholder.jpg
Infinix,Infinix INBook X1 14 Inches Core i3 (8GB RAM - 256GB SSD),"Rs. 79,999",,,https://priceoye.pk/laptops/infinix/infinix-inbook-x1-14-inches-core-i3-8gb-ram-256gb-ssd,https://static.priceoye.pk/images/product-placeholder.jpg
ASUS,ASUS VivoBook Flip TP412F 14 Inches Core i5 (08GB RAM - 512GB SSD),"Rs. 131,999",,,https://priceoye.pk/laptops/asus/asus-vivobook-flip-tp412f-14-core-i5-quadcore-08gb-512gb-ssd,https://static.priceoye.pk/images/product-placeholder.jpg
ASUS,ASUS ROG STRIX G513QM 15.6 Inches Ryzen 9 5900HX Octa-Core (16GB RAM - 512GB SSD),"Rs. 306,499",,,https://priceoye.pk/laptops/asus/asus-rog-strix-g513qm-gaming-laptop-amd-ryzen-9-5900hx-octa-core-processor-16gb-512gb-ssd,https://static.priceoye.pk/images/product-placeholder.jpg
Dell,Dell Inspiron 5310 13.3 inches Core i5 11300H (8GB RAM - 512GB SSD),"Rs. 174,000",,,https://priceoye.pk/laptops/dell/dell-inspiron-5310-15-6-inches-core-i3-1115g4-4gb-ram-1tb-hdd,https://static.priceoye.pk/images/product-placeholder.jpg
