Brand,Watch_Name,Price,MarketPrice,Discount,Link,ImageLink
X8,X8 Ultra Bluetooth Calling Watch,"Rs. 4,999","
                Rs. 7,699            ","
                (35% OFF)            ",https://priceoye.pk/smart-watches/assorted/x8-ultra-smartwatch,https://static.priceoye.pk/images/product-placeholder.jpg
Xiaomi,Xiaomi Smart Band 7,"Rs. 9,999","
                Rs. 12,500            ","
                (20% OFF)            ",https://priceoye.pk/smart-watches/xiaomi/xiaomi-smart-band-7,https://static.priceoye.pk/images/product-placeholder.jpg
Kieslect,Kieslect Kr Pro Calling Watch,"Rs. 14,899","
                Rs. 19,999            ","
                (26% OFF)            ",https://priceoye.pk/smart-watches/kieslect/kieslect-calling-kr-pro-smart-watch,https://static.priceoye.pk/images/product-placeholder.jpg
Zeblaze,Zeblaze Voice Calling Smartwatch Vibe7 Pro,"Rs. 10,999","
                Rs. 13,999            ","
                (21% OFF)            ",https://priceoye.pk/smart-watches/zeblaze/zeblaze-voice-calling-smartwatch-vibe7-pro,https://static.priceoye.pk/images/product-placeholder.jpg
Yolo,Yolo Supreme Bluetooth Calling Watch,"Rs. 10,999","
                Rs. 14,999            ","
                (27% OFF)            ",https://priceoye.pk/smart-watches/yolo/yolo-supreme-bluetooth-calling-watch,https://static.priceoye.pk/images/product-placeholder.jpg
Haylou,Haylou RS4 Plus Smart Watch,"Rs. 12,499","
                Rs. 14,999            ","
                (17% OFF)            ",https://priceoye.pk/smart-watches/haylou/haylou-rs4-plus-smart-watch,https://static.priceoye.pk/images/product-placeholder.jpg
T900,T900 Ultra Smart Watch,"Rs. 3,249","
                Rs. 4,999            ","
                (35% OFF)            ",https://priceoye.pk/smart-watches/assorted/t900-ultra-smart-watch,https://static.priceoye.pk/images/product-placeholder.jpg
T500,T500 Smart Watch,"Rs. 1,699","
                Rs. 2,199            ","
                (23% OFF)            ",https://priceoye.pk/smart-watches/assorted/t500-smart-watch,https://static.priceoye.pk/images/product-placeholder.jpg
Joyroom,Joyroom Fit-Life Series Calling Watch (JR-FT3 Pro),"Rs. 7,499","
                Rs. 7,999            ","
                (6% OFF)            ",https://priceoye.pk/smart-watches/joyroom/joyroom-fit-life-series-smart-watch-jr-ft3-pro,https://static.priceoye.pk/images/product-placeholder.jpg
Haino,Haino Teko T94 Ultra Max Smart Watch (4 Straps in 1),"Rs. 7,649","
                Rs. 8,999            ","
                (15% OFF)            ",https://priceoye.pk/smart-watches/haino-teko/haino-teko-t94-ultra-max-smart-watch-4-straps-in-1,https://static.priceoye.pk/images/product-placeholder.jpg
WS27,WS27 Bluetooth Calling Watch,"Rs. 4,099","
                Rs. 5,000            ","
                (18% OFF)            ",https://priceoye.pk/smart-watches/assorted/ws27-bluetooth-calling-smart-watch,https://static.priceoye.pk/images/product-placeholder.jpg
Kieslect,Kieslect Lady Calling Watch Lora,"Rs. 13,999","
                Rs. 15,000            ","
                (7% OFF)            ",https://priceoye.pk/smart-watches/kieslect/kieslect-k-lora-lady-calling-smart-watch,https://static.priceoye.pk/images/product-placeholder.jpg
i8,i8 Pro Max Smart Watch (44mm),"Rs. 1,999","
                Rs. 2,999            ","
                (33% OFF)            ",https://priceoye.pk/smart-watches/assorted/i8-pro-max-smart-watch,https://static.priceoye.pk/images/product-placeholder.jpg
Mibro,Mibro GS Smart Watch,"Rs. 14,299","
                Rs. 14,999            ","
                (5% OFF)            ",https://priceoye.pk/smart-watches/mibro/mibro-gs-smart-watch,https://static.priceoye.pk/images/product-placeholder.jpg
Haino,Haino Teko G9 Ultra Max Smart Watch,"Rs. 7,899","
                Rs. 8,799            ","
                (10% OFF)            ",https://priceoye.pk/smart-watches/haino-teko/haino-teko-g9-ultra-max-smart-watch,https://static.priceoye.pk/images/product-placeholder.jpg
T100,T100 Plus Smart Watch,"Rs. 3,099","
                Rs. 3,999            ","
                (23% OFF)            ",https://priceoye.pk/smart-watches/assorted/t100-plus-smart-watch,https://static.priceoye.pk/images/product-placeholder.jpg
HW7,HW7 Max Smart Watch,"Rs. 5,299","
                Rs. 6,500            ","
                (18% OFF)            ",https://priceoye.pk/smart-watches/assorted/hw7-max-smart-watch,https://static.priceoye.pk/images/product-placeholder.jpg
T800,T800 Ultra Smart Watch,"Rs. 3,699","
                Rs. 4,499            ","
                (18% OFF)            ",https://priceoye.pk/smart-watches/assorted/t800-ultra-smart-watch,https://static.priceoye.pk/images/product-placeholder.jpg
Xinji,Xinji Cobee C2 Smart Watch,"Rs. 9,799","
                Rs. 10,999            ","
                (11% OFF)            ",https://priceoye.pk/smart-watches/xinji/xinji-cobee-c2,https://static.priceoye.pk/images/product-placeholder.jpg
Mibro,Mibro A1 Smart Watch,"Rs. 6,499","
                Rs. 6,999            ","
                (7% OFF)            ",https://priceoye.pk/smart-watches/mibro/mibro-a1-smartwatch,https://static.priceoye.pk/images/product-placeholder.jpg
Yolo,Yolo Bluetooth Calling Watch Pro,"Rs. 6,999","
                Rs. 7,999            ","
                (13% OFF)            ",https://priceoye.pk/smart-watches/yolo/yolo-watch-pro,https://static.priceoye.pk/images/product-placeholder.jpg
Zero,Zero Bolt Smart Watch,"Rs. 7,899","
                Rs. 17,599            ","
                (55% OFF)            ",https://priceoye.pk/smart-watches/zero/zero-bolt-smart-watch,https://static.priceoye.pk/images/product-placeholder.jpg
Z66,Z66 Ultra Bluetooth Calling  Watch,"Rs. 3,699","
                Rs. 4,999            ","
                (26% OFF)            ",https://priceoye.pk/smart-watches/assorted/z66-ultra-smart-watch,https://static.priceoye.pk/images/product-placeholder.jpg
Kieslect,Kieslect Kr Calling Watch,"Rs. 11,199","
                Rs. 11,999            ","
                (7% OFF)            ",https://priceoye.pk/smart-watches/kieslect/kieslect-calling-kr-smart-watch,https://static.priceoye.pk/images/product-placeholder.jpg
Itel,Itel Bluetooth Calling Smart Watch 1,"Rs. 7,499","
                Rs. 12,000            ","
                (38% OFF)            ",https://priceoye.pk/smart-watches/itel/itel-smart-watch-1,https://static.priceoye.pk/images/product-placeholder.jpg
Zero,Zero Terra Fit Smart Watch,"Rs. 7,199","
                Rs. 12,999            ","
                (45% OFF)            ",https://priceoye.pk/smart-watches/zero/zero-terra-fit-smart-watch,https://static.priceoye.pk/images/product-placeholder.jpg
Mibro,Mibro X1 Smart Watch,"Rs. 10,249","
                Rs. 10,999            ","
                (7% OFF)            ",https://priceoye.pk/smart-watches/mibro/mibro-x1-smart-watch,https://static.priceoye.pk/images/product-placeholder.jpg
Zero,Zero Buzz Max Smart Watch,"Rs. 7,599","
                Rs. 15,999            ","
                (53% OFF)            ",https://priceoye.pk/smart-watches/zero/zero-buzz-max-smart-watch,https://static.priceoye.pk/images/product-placeholder.jpg
Joyroom,Joyroom JR-FT5 Smart Watch,"Rs. 9,749","
                Rs. 10,499            ","
                (7% OFF)            ",https://priceoye.pk/smart-watches/joyroom/joyroom-jr-ft5-smart-watch,https://static.priceoye.pk/images/product-placeholder.jpg
TW18,TW18 Ultra Smart Watch,"Rs. 5,699","
                Rs. 6,299            ","
                (10% OFF)            ",https://priceoye.pk/smart-watches/assorted/tw18-ultra-smart-watch,https://static.priceoye.pk/images/product-placeholder.jpg
U8,U8 Ultra Smart Watch,"Rs. 5,799","
                Rs. 6,499            ","
                (11% OFF)            ",https://priceoye.pk/smart-watches/assorted/u8-ultra-smart-watch,https://static.priceoye.pk/images/product-placeholder.jpg
OPPO,OPPO Watch (46mm),"Rs. 59,799","
                Rs. 69,999            ","
                (15% OFF)            ",https://priceoye.pk/smart-watches/oppo/oppo-watch-46mm,https://static.priceoye.pk/images/product-placeholder.jpg
Huawei,Huawei Band 7,"Rs. 13,249","
                Rs. 15,999            ","
                (17% OFF)            ",https://priceoye.pk/smart-watches/huawei/huawei-band-7,https://static.priceoye.pk/images/product-placeholder.jpg
G-TiDE,G-TiDE R1 Smart Watch,"Rs. 8,099","
                Rs. 10,000            ","
                (19% OFF)            ",https://priceoye.pk/smart-watches/g-tide/g-tide-r1-smart-watch,https://static.priceoye.pk/images/product-placeholder.jpg
Zeblaze,Zeblaze Btalk 2 Calling Watch,"Rs. 7,999","
                Rs. 9,999            ","
                (20% OFF)            ",https://priceoye.pk/smart-watches/zeblaze/zeblaze-btalk-2-calling-watch,https://static.priceoye.pk/images/product-placeholder.jpg
G-Tide,G-Tide S1 Lite Bluetooth Calling Smartwatch,"Rs. 7,999","
                Rs. 9,200            ","
                (13% OFF)            ",https://priceoye.pk/smart-watches/g-tide/g-tide-s1-lite-bluetooth-calling-smartwatch,https://static.priceoye.pk/images/product-placeholder.jpg
MT8,MT8 Ultra Smart Watch,"Rs. 6,599","
                Rs. 7,799            ","
                (15% OFF)            ",https://priceoye.pk/smart-watches/assorted/mt8-ultra-smart-watch,https://static.priceoye.pk/images/product-placeholder.jpg
H11,H11 Ultra Smart Watch,"Rs. 7,099","
                Rs. 7,999            ","
                (11% OFF)            ",https://priceoye.pk/smart-watches/assorted/h11-ultra-smart-watch,https://static.priceoye.pk/images/product-placeholder.jpg
Haylou,Haylou RS3 Smart Watch,"Rs. 9,999","
                Rs. 13,000            ","
                (23% OFF)            ",https://priceoye.pk/smart-watches/haylou/haylou-rs3,https://static.priceoye.pk/images/product-placeholder.jpg
Yolo,Yolo Fortuner Calling Smart Watch,"Rs. 7,999","
                Rs. 8,800            ","
                (9% OFF)            ",https://priceoye.pk/smart-watches/yolo/yolo-calling-smart-watch,https://static.priceoye.pk/images/product-placeholder.jpg
